Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV215E,3001-3B,Toffee Cream,,Toffee Cream,Crème au caramel,,Oranges,39,224,150,85,E09655,,0,33,62,12,FVUP3001-3B,Lowe's,
NV215F,3001-3A,Hazelnut Coffee,,Hazelnut Coffee,Café aux noisettes,,Oranges,32,215,135,63,D7873F,,0,37,71,16,FVUP3001-3A,Lowe's,
NV215G,8002-15G,Fireside Chat,,Fireside Chat,Discussion de foyer,,Oranges,19,176,101,37,B06525,,0,43,79,31,FNVL2020_7,Lowe's,
NV216A,3002-6C,French Pastry,,French Pastry,Pâtisserie française,,Oranges,69,243,211,171,F3D3AB,,0,13,30,5,FVUP3002-6C,Lowe's,
NV216B,3002-6B,Amber Waves,,Amber Waves,Vague ambrée,,Oranges,64,243,202,156,F3CA9C,,0,17,36,5,FVUP3002-6B,Lowe's,
NV216C,3002-6A,Fragrant Coriander,,Fragrant Coriander,Coriandre parfumée,,Oranges,52,234,181,131,EAB583,,0,23,44,8,FVUP3002-6A,Lowe's,
NV216D,3002-5C,Frankincense,,Frankincense,Encens,,Oranges,43,220,164,110,DCA46E,,0,25,50,14,FVUP3002-5C,Lowe's,
NV216E,3002-5B,Butternut Tree,,Butternut Tree,Noyer cendré,,Oranges,32,202,140,77,CA8C4D,,0,31,62,21,FVUP3002-5B,Lowe's,
NV216F,3010-5,Fancy Suede,,Fancy Suede,Suède fantaisie,,Oranges,28,195,129,61,C3813D,,0,34,69,24,FVUP3010-5,Lowe's,
NV216G,3009-7,Caramel Toffee,,Caramel Toffee,Caramel anglais,,Oranges,22,181,114,59,B5723B,,0,37,67,29,FVUP3009-7,Lowe's,
NV217A,3003-6C,Simple Pleasures,,Simple Pleasures,Plaisirs simples,,Yellows,73,243,218,187,F3DABB,,0,10,23,5,FVUP3003-6C,Lowe's,
NV217B,3003-6B,Pumpkin Pie Oh My!,,Pumpkin Pie Oh My!,Tarte à la citrouille Wow!,,Yellows,64,239,204,161,EFCCA1,,0,15,33,6,FVUP3003-6B,Lowe's,
NV217C,8002-17C,Glazed Ginger,3003-6A Kidskin Buff,Glazed Ginger,Gingembre glacé,,Yellows,55,234,188,134,EABC86,,0,20,43,8,FVUP3003-6A,Lowe's,
NV217D,3003-5C,Imperial Gold,,Tarnished Gold,Or terni,,Yellows,48,222,175,121,DEAF79,,0,21,45,13,FVUP3003-5C,Lowe's,
NV217E,8002-17E,Sassy Sassafras,,Sassy Sassafras,Sassafras passionné,,Yellows,38,208,154,98,D09A62,,0,26,53,18,FDBDC554,Lowe's,
NV217F,3003-5B,Autumn Spice,,Autumn Spice,Épice d'automne,,Yellows,34,207,144,79,CF904F,,0,30,62,19,FVUP3003-5B,Lowe's,
NV217G,3003-5A,Amber Sienna,,Amber Sienna,Ambre de Sienne,,Yellows,26,188,127,62,BC7F3E,,0,32,67,26,FVUP3003-5A,Lowe's,
NV218A,3001-4C,Almond Cream,,Almond Cream,Crème d'amande,,Yellows,79,247,228,202,F7E4CA,,0,8,18,3,FVUP3001-4C,Lowe's,
NV218B,3005-6C,Soft Candlelight,,Soft Candlelight,Douce lueur de chandelle,,Yellows,71,241,216,183,F1D8B7,,0,10,24,5,FVUP3005-6C,Lowe's,
NV218C,8002-18C,Homeward Bound,,Homeward Bound,Retour au bercail,,Yellows,57,233,192,145,E9C091,,0,18,38,9,FNVL2023_3,Lowe's,
NV218D,8002-18D,Bonfire Toffee,,Bonfire Toffee,Caramel feu de joie,,Yellows,42,213,164,114,D5A472,,0,23,46,16,FNVL2023_4,Lowe's,
